name,distance
Nouveau-Brunswick-Sud-Ouest,8271870.148856978
Saint John--Rothesay,8325811.611155369
Tobique--Mactaquac,8202362.382898489
Abbotsford,4509555.072614485
Surrey-Sud--White Rock,4485006.8910448
Longueuil--Charles-LeMoyne,7742012.374828358
Lévis--Lotbinière,7877386.273579983
Longueuil--Saint-Hubert,7741096.7515189685
Banff--Airdrie,5023465.947417647
Battle River--Crowfoot,5269562.6113408385
Bow River,5113116.57498731
Fort McMurray--Cold Lake,5629325.275592943
Grande Prairie--Mackenzie,5429838.823759357
Lakeland,5397871.99364526
Lethbridge,5047514.438784759
Medicine Hat--Cardston--Warner,5115312.116620008
Peace River--Westlock,5386314.585045059
Red Deer--Mountain View,5130634.987991473
Red Deer--Lacombe,5191954.716322273
St. Albert--Edmonton,5281050.772285894
Sherwood Park--Fort Saskatchewan,5301409.918785714
Sturgeon River--Parkland,5281686.74355829
Yellowhead,5100626.4516336415
Burnaby-Nord--Seymour,4504008.657787347
Burnaby-Sud,4493255.777503011
Cariboo--Prince George,4783155.970059761
Central Okanagan--Similkameen--Nicola,4653396.612319204
Chilliwack--Hope,4559796.345314417
Coquitlam--Port Coquitlam,4521973.31785869
Courtenay--Alberni,4399645.60308945
Courtenay--Alberni,4452173.328862679
Cowichan--Malahat--Langford,4396080.21589078
Kamloops--Thompson--Cariboo,4806909.316246212
Kelowna--Lake Country,4720995.754687814
Kootenay--Columbia,4892724.846499563
Louis-Hébert,7884712.595876291
Louis-Saint-Laurent,7879797.999984419
Mégantic--L'Érable,7910482.037468378
Mirabel,7692768.748731831
Pontiac,7485608.583833
Portneuf--Jacques-Cartier,7841099.979058852
Pierrefonds--Dollard,7709405.309824534
Québec,7891420.046307039
Cloverdale--Langley City,4494988.770326182
Delta,4475367.934194036
Fleetwood--Port Kells,4497858.051068167
Montarville,7750798.1582396915
Montcalm,7718292.427249967
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,7986824.732266975
Mont-Royal,7725813.999617632
Notre-Dame-de-Grâce--Westmount,7728718.851404039
Repentigny,7739439.552427048
Richmond--Arthabaska,7854576.049754173
Rivière-des-Mille-Îles,7705185.726123861
Rivière-du-Nord,7694561.221063857
Papineau,7727898.515217152
Langley--Aldergrove,4499398.9416468665
Mission--Matsqui--Fraser Canyon,4627416.220526981
New Westminster--Burnaby,4494484.335627796
North Okanagan--Shuswap,4796250.271259414
North Vancouver,4510893.485712947
Pitt Meadows--Maple Ridge,4541679.37965473
Marc-Aurèle-Fortin,7714735.267905334
Saint-Hyacinthe--Bagot,7791073.487496973
Saint-Jean,7761963.356820498
Rosemont--La Petite-Patrie,7730392.0022652345
Saint-Léonard--Saint-Michel,7728500.998746624
Saint-Maurice--Champlain,7687494.274572437
Salaberry--Suroît,7695372.731294709
Shefford,7807417.151575846
Saint-Laurent,7721157.756644065
Sherbrooke,7865014.216704201
Terrebonne,7720171.783687524
Trois-Rivières,7794988.620726519
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,7734128.2466108315
Vimy,7718890.304615591
Ajax,7311769.347403735
Algoma--Manitoulin--Kapuskasing,6951669.173462809
